LOCALIDAD,2009,2010,2011,2012,2013,2014,2015,2016,2017
QUEBRADA PIRURI,,,1,,,,1,,
QUEBRADA PIURI,3,40,69,59,46,65,19,31,33
QUEBRADA PIURI RIO MAZAN,52,,,,,,,,
QUEBRADA POMAURCO RIO MAZ,1,,,,,,,,
QUEBRADA PUNAISIQUI,,1,2,12,1,,,,1
QUEBRADA RAYA,,,18,11,13,12,3,7,7
QUEBRADA RAYAYO,1,6,3,1,6,8,1,,
QUEBRADA RAYAYO RIO MAZAN,31,,,,,,,,
QUEBRADA RAYO,,1,3,1,8,5,1,,
QUEBRADA RONDIN,,,1,,,,,,
QUEBRADA RONDIN RIO MAZAN,,1,,,,,,,
QUEBRADA ROSSI WAR,,,1,,,,,,1
QUEBRADA SALINAS,32,1,6,5,9,7,7,6,8
QUEBRADA SALVADOR,,,,,8,1,,,
QUEBRADA SARA,2,11,75,40,11,29,4,4,21
QUEBRADA SARA RIO MAZAN,19,,,,,,,,
QUEBRADA SIPRIOSA,,5,2,2,4,,1,2,1
QUEBRADA SUCUSARI,,1,2,4,1,1,,,
QUEBRADA SUNICAﾃ前,,,,,,,,13,46
QUEBRADA SUNICA?O,2,4,22,41,38,54,9,,
QUEBRADA SUPE  RIO MAZAN,1,,,,,,,,
QUEBRADA TACSHA,1,,6,2,5,6,4,4,3
QUEBRADA TAMBOR,,1,2,6,10,31,20,1,1
QUEBRADA TAPAJE,,,1,,2,4,1,2,5
QUEBRADA TAPAJE RIO MAZAN,1,,,,,,,,
QUEBRADA TEMBLADERA,,,1,1,,,,,
QUEBRADA TIGRE,1,11,21,9,4,18,1,18,23
QUEBRADA TIGRE RIO MAZAN,18,,,,,,,,
QUEBRADA TIPISHCA,,,4,1,1,2,,1,1
QUEBRADA TRINCHERA RIO MA,,1,,,,,,,
QUEBRADA WARMI,1,5,8,3,7,10,,,1
QUEBRADA WIRIRIMA,,,,1,,,,,
QUEBRADA YANAMUCO,,4,10,4,1,,,,
QUEBRADA YANAYACO,,5,2,2,5,,2,,1
QUEBRADA YANAYACU,11,6,5,5,13,2,,,1
QUEBRADA YARANA,1,4,2,,3,3,,,6
QUEBRADA YARANA RIO MAZAN,3,,,,,,,,
QUEBRADA YARINA,,,7,8,22,44,5,,
QUEBRADA YATACO,1,,,,,,,,
QUEBRADA YATECA,,,,,5,1,2,,
QUEBRADA ZAGASETA RIO MAZ,1,,,,,,,,
QUEBRADA ZAPATA,,,2,1,2,6,2,,1
QUEBRADA ZUNGARO RIO MAZA,15,,,,,,,,
QUEBRDA TAMBO YACU,,,,,,2,,,
QUI?ONES,,,2,,,,,,
QX  CALENTURA,,,2,,,,,,
QX AGUANO,,,2,,,,,,
QX AHUANARI,,,4,,,,,,
QX ARMAS,,,10,,,,,,
QX BUFEO,,,1,,,,,,
QX CHIRIYACO,,,3,,,,,,
QX CHORO,,,1,,,,,,
QX HUATARACO,,,2,,,,,,
QX INAYUGA,,,1,,,,,,
QX MACHETE,,,2,,,,,,
QX MAPA,,,7,,,,,,
QX PIURI,,,5,,,,,,
QX RONDIN,,,2,,,,,,
QX SARA,,,3,,,,,,
QX SLUNICA?O,,,6,,,,,,
QX SUCUSARI,,,1,,,,,,
QX TAPAJE,,,3,,,,,,
QX TIGRE,,,2,,,,,,
QX VAINILLA,,,1,,,,,,
QX YANAYACU,,,3,,,,,,
QX ZAPATA,,,2,,,,,,
REPARTIMIENTO,,,,,,,,,1
RONDI,,,,,1,,,,
SALVADOR,3,1,12,10,64,72,48,107,16
SAN ANTONIO  DE MIRA?O,,,,3,1,3,2,,
SAN ANTONIO DE ZAMBRANO,,,2,5,8,17,5,,7
SAN FRANCISCO DE BUEN PAS,,4,,,2,1,10,3,2
SAN JOSE,7,2,10,15,11,13,6,8,3
SAN JUAN,,,,,,,1,,
SAN JUAN DE FLORESTA,1,,,2,6,1,1,,1
SAN LUIS,,,,,,,,,1
SAN PEDRO,,,1,,,,,,
SAN PEDRO CAYAPOSA,,,1,4,10,4,1,,1
SAN PEDRO DE CAYAPOZA,5,,2,2,3,7,,,
SAN PEDRO DE MANGUA,1,1,,10,87,8,1,1,
SANTA CECILIA,,,,,,1,,,1
SANTA CRUZ,32,8,40,26,114,145,58,22,36
SANTA LUCIA,1,,1,,,1,,,1
SANTA MARTHA,2,1,1,,8,6,4,1,1
SANTA ROSA,,1,9,2,,5,1,4,
SANTA VICTORIA,,,1,,3,,4,1,4
SARA ISLA,5,,2,,1,8,8,,5
SEﾃ前R DE LOS MILAGROS,,,,,,,,1,2
SE?OR DE LOS MILAGROS,9,,,1,2,7,1,,
